,stop_id,stop_name,stop_code,zone_id,2/12/23 14:58,2/15/23 19:35,2/24/23 14:41,2/25/23 14:07,3/3/23 13:06,3/3/23 16:06,3/4/23 14:10,3/6/23 9:33,3/6/23 14:23,3/10/23 14:54,3/12/23 13:12,3/12/23 17:20,3/16/23 13:01,3/16/23 17:45,Average Delay
0,6315,Lincoln Av & Paru St,53158,E,0,0,0,450,0,0,435,0,0,0,0,0,0,0,63.21428571
1,17,Broadway & Tilden Way,51545,E,0,0,0,561,0,0,541,0,0,0,162,167,0,0,102.2142857
2,25,Challenger Dr & Atlantic Av,58996,E,0,0,0,507,0,0,501,0,142,0,230,253,0,0,116.6428571
3,77,1080 Marina Village Pkwy,57507,E,0,0,0,518,0,0,515,0,142,0,250,275,0,0,121.4285714
4,79,1250 Marina Village Pkwy,59987,E,0,0,0,521,0,0,522,0,142,0,252,293,0,0,123.5714286
5,82,Marina Village Pkwy & Challenger Dr,57656,E,0,0,0,519,0,0,513,0,142,0,248,277,0,0,121.3571429
6,84,Marina Village Pkwy & Mariner Square Dr (N Jctn),58177,E,0,0,0,531,0,0,530,0,142,0,244,0,0,0,103.3571429
7,193,Broadway & Blanding Av,58677,E,0,0,0,568,0,0,548,0,0,0,182,174,0,0,105.1428571
8,2035,11th St & Jefferson St,51110,E,0,14,0,431,0,0,426,0,142,0,48,0,0,0,75.78571429
9,2036,12th St & Broadway (12th St BART),55557,E,0,0,0,385,0,0,371,0,142,0,66,0,0,0,68.85714286
10,2826,Fruitvale Av & E 9th St,58058,E,0,0,0,590,0,0,577,0,0,0,116,199,0,0,105.8571429
11,2843,Fruitvale BART,59000,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3658,12th St & Harrison St,58858,E,0,0,0,399,0,0,381,0,142,0,56,0,0,0,69.85714286
13,3696,Harrison St & 8th St,50237,E,0,0,0,374,0,0,334,0,142,0,37,0,0,0,63.35714286
14,5336,12th & Clay St,51528,E,0,14,0,375,0,0,359,0,142,0,74,0,0,0,68.85714286
15,5584,1105 Atlantic Av,56707,E,0,0,0,495,0,0,515,0,0,0,224,244,0,0,105.5714286
16,5586,Atlantic Av & Triumph Dr,54332,E,0,0,0,484,0,0,517,0,142,0,225,245,0,0,115.2142857
17,5588,Buena Vista Av & Chestnut St,52545,E,0,0,0,447,0,0,442,0,0,0,83,70,0,0,74.42857143
18,5593,Buena Vista Av & Walnut St,56722,E,0,0,0,481,0,0,468,0,0,0,130,106,0,0,84.64285714
19,5594,Buena Vista Av & Willow St,53422,E,0,0,0,465,0,0,453,0,0,0,99,89,0,0,79
20,5612,Buena Vista Av & Park St,51727,E,0,0,0,491,0,0,486,0,0,0,128,103,0,0,86.28571429
21,5645,Buena Vista Av & Grand St,51737,E,0,0,0,409,0,0,404,0,0,0,56,76,0,0,67.5
22,5947,Sherman St & Buena Vista Av,52304,E,0,0,0,500,0,0,501,0,0,0,210,197,0,0,100.5714286
