,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,stop_id,stop_name,stop_code,zone_id,2/12/23 14:59,02/15/2023 19:35:55,02/24/2023 14:41:57,02/25/2023 14:07:55,02/25/2023 16:27:52,02/25/2023 18:01:03,03/03/2023 13:06:23,03/03/2023 16:06:44,03/04/2023 10:45:31,03/04/2023 14:11:11,03/06/2023 09:33:33,03/06/2023 14:23:30,03/10/2023 14:54:38,03/10/2023 17:21:25,03/12/2023 13:13:02,03/12/2023 17:20:22,03/16/2023 13:01:29,03/16/2023 17:46:03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,Broadway & 15th St,52894,E,268.0,371.0,325.5,190.66666666666663,63.0,158.0,157.0,921.0,0.0,150.5,252.5,277.0,263.0,55.0,217.5,69.0,357.0,303.3333333333333
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,Broadway & Tilden Way,51545,E,84.0,371.0,0.0,216.0,100.0,163.0,306.0,202.0,251.3333333333333,126.66666666666669,296.0,0.0,0.0,52.0,44.75,100.75,357.0,217.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,136,Santa Clara Av & 8th St,55995,E,48.66666667,371.0,325.5,141.0,35.5,213.0,306.0,441.6666666666667,505.0,55.0,296.0,134.0,263.0,52.0,68.0,95.0,357.0,217.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,140,Santa Clara Av & Bay St,55537,E,82.66666667,371.0,325.5,197.0,59.66666666666666,218.0,306.0,441.6666666666667,528.0,71.0,296.0,134.0,263.0,52.0,89.5,119.0,357.0,217.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,141,Santa Clara Av & Broadway,57733,E,74.0,371.0,7.0,226.0,106.33333333333331,163.0,306.0,202.0,248.0,138.33333333333334,296.0,0.0,0.0,52.0,38.25,87.0,357.0,217.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,143,Santa Clara Av & Chestnut St,55579,E,126.6666667,371.0,325.5,249.0,125.66666666666669,227.0,306.0,441.6666666666667,258.3333333333333,149.0,296.0,134.0,0.0,52.0,55.25,148.0,357.0,217.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,144,Santa Clara Av & Grand St,56661,E,113.0,371.0,325.5,226.0,95.66666666666669,251.0,306.0,441.6666666666667,223.0,127.0,296.0,134.0,0.0,52.0,66.25,116.33333333333331,357.0,217.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,147,Santa Clara Av & Park St,55511,E,96.0,371.0,325.5,267.0,119.33333333333331,182.5,306.0,202.0,251.0,168.0,296.0,0.0,0.0,52.0,40.0,124.0,357.0,217.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,150,Santa Clara Av & Stanton St,55994,E,92.66666667,371.0,325.5,210.0,72.66666666666667,237.0,306.0,441.6666666666667,194.0,110.0,296.0,134.0,0.0,52.0,142.0,141.0,357.0,217.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,153,Santa Clara Av & Willow St,51119,E,133.3333333,371.0,325.5,257.0,139.66666666666666,214.5,306.0,441.6666666666667,256.6666666666667,157.0,296.0,134.0,0.0,52.0,74.25,147.33333333333334,357.0,217.0
