FIPS,Qualifying Name,File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census),American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian TribalSubdivision (Census),American Indian TribalSubdivision (FIPS),Alaska Native RegionalCorporation (FIPS),Metropolitan and MicropolitanStatistical Area,Combined Statistical Area,Metropolitan Statistical Area-Metropolitan Division,Metropolitan Area Central City,Metropolitan/MicropolitanIndicator Flag,New England City and Town Area,New England City and TownCombined Statistical Area,New England City and Town AreaDivision,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area – 5%File,Public Use Microdata Area - 1% File,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Place (State FIPS + Place FIPS),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median Household Income (In 2021 Inflation Adjusted Dollars),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home,Renter-Occupied Housing Units,Renter-Occupied Housing Units: 30 to 49 Percent,Renter-Occupied Housing Units: 50 percent or More,Median Gross Rent
6001400200,"Census Tract 4002, Alameda County, California",ACSSF,ca,140,0,2819,,,,,6,1,,,400200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001400200,Census Tract 4002,,,,2038,1498,48,0,197,0,26,269,2038,161,51,90,54,61,425,280,228,214,294,152,28,868,0,19,0,0,0,8,2,24,21,18,18,80,81,60,97,440,201154,1096,335,275,60,318,10,33,29,0,371,375,21,32,2532
6001400300,"Census Tract 4003, Alameda County, California",ACSSF,ca,140,0,2820,,,,,6,1,,,400300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001400300,Census Tract 4003,,,,5449,3410,530,22,640,0,395,452,5449,98,437,179,184,193,1378,634,888,485,548,217,208,2548,78,104,47,85,60,46,0,14,62,40,220,247,257,143,303,842,127333,3289,1148,1001,147,954,46,109,103,0,929,1577,493,295,1979
6001400400,"Census Tract 4004, Alameda County, California",ACSSF,ca,140,0,2821,,,,,6,1,,,400400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001400400,Census Tract 4004,,,,4384,3061,367,22,356,0,189,389,4384,294,214,316,120,107,980,762,672,387,346,121,65,1826,32,42,69,25,37,15,10,6,35,95,28,223,71,283,205,650,146265,2584,1138,946,192,500,16,169,139,26,596,952,56,113,2231
6001401100,"Census Tract 4011, Alameda County, California",ACSSF,ca,140,0,2828,,,,,6,1,,,401100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001401100,Census Tract 4011,,,,5204,2441,933,0,914,10,372,534,5204,212,176,261,133,453,1603,941,825,263,256,43,38,2428,174,11,41,101,47,0,66,55,46,115,173,632,251,49,207,460,85994,3257,1041,957,84,1373,25,123,141,14,540,1913,583,251,1881
6001401200,"Census Tract 4012, Alameda County, California",ACSSF,ca,140,0,2829,,,,,6,1,,,401200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001401200,Census Tract 4012,,,,2800,1796,286,0,312,0,113,293,2800,197,58,39,27,127,878,485,469,279,138,79,24,1360,26,44,30,10,43,73,21,0,43,63,102,167,129,77,136,396,103824,1872,761,652,109,523,0,96,79,29,384,819,157,214,2445
6001401300,"Census Tract 4013, Alameda County, California",ACSSF,ca,140,0,2830,,,,,6,1,,,401300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001401300,Census Tract 4013,,,,4074,1726,902,25,854,0,135,432,4074,151,38,63,70,211,1426,694,455,466,179,168,153,2065,124,78,74,81,58,105,68,58,48,87,61,300,297,146,230,250,91225,2640,994,874,120,744,54,137,264,0,447,1757,407,398,1690
6001402600,"Census Tract 4026, Alameda County, California",ACSSF,ca,140,0,2839,,,,,6,1,,,402600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402600,Census Tract 4026,,,,1299,197,437,4,454,0,38,169,1299,50,100,73,13,84,182,180,166,132,218,79,22,603,65,122,24,16,26,17,28,48,15,78,34,11,16,8,47,48,40292,612,325,273,52,84,0,5,91,41,66,517,133,116,1061
6001402700,"Census Tract 4027, Alameda County, California",ACSSF,ca,140,0,2840,,,,,6,1,,,402700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402700,Census Tract 4027,,,,1988,616,717,0,313,0,252,90,1988,55,51,67,28,210,550,378,169,247,183,16,34,724,116,6,30,18,27,25,7,22,5,11,40,55,68,25,82,187,98750,1188,524,396,128,375,0,49,86,6,148,477,71,105,1846
6001402801,"Census Tract 4028.01, Alameda County, California",ACSSF,ca,140,0,2841,,,,,6,1,,,402801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402801,Census Tract 4028.01,,,,3301,990,1230,31,582,0,67,401,3301,210,88,243,0,139,1132,394,321,240,404,90,40,1786,87,205,62,42,212,33,80,0,0,97,30,40,66,78,448,306,100735,1828,375,356,19,706,32,52,214,16,433,1497,295,319,1971
6001402802,"Census Tract 4028.02, Alameda County, California",ACSSF,ca,140,0,2842,,,,,6,1,,,402802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402802,Census Tract 4028.02,,,,1251,284,583,0,195,0,56,133,1251,11,15,16,0,61,245,151,139,109,336,124,44,699,176,144,99,0,0,18,0,0,64,39,12,54,22,0,20,51,15745,419,62,36,26,188,15,12,33,14,95,671,195,227,530
