,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,stop_id,stop_name,stop_code,zone_id,2/12/23 14:58,02/15/2023 19:35:44,02/24/2023 14:41:45,02/25/2023 14:07:45,02/25/2023 16:27:42,02/25/2023 18:00:50,03/03/2023 13:06:13,03/03/2023 16:06:33,03/04/2023 10:45:20,03/04/2023 14:10:59,03/06/2023 09:33:22,03/06/2023 14:23:19,03/10/2023 14:54:23,03/10/2023 17:21:13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6315,Lincoln Av & Paru St,53158,E,0,0.0,0,450.0,92.0,0,0,0,0,435.0,0,0.0,0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,Broadway & Tilden Way,51545,E,0,0.0,0,561.0,144.0,0,0,0,0,541.0,0,0.0,0,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,Challenger Dr & Atlantic Av,58996,E,0,0.0,0,507.0,541.0,0,0,0,0,501.0,0,142.0,0,53.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,77,1080 Marina Village Pkwy,57507,E,0,0.0,0,518.0,585.0,0,0,0,0,515.0,0,142.0,0,53.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,79,1250 Marina Village Pkwy,59987,E,0,0.0,0,521.0,596.0,0,0,0,0,522.0,0,142.0,0,53.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,82,Marina Village Pkwy & Challenger Dr,57656,E,0,0.0,0,519.0,588.0,0,0,0,0,513.0,0,142.0,0,53.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,84,Marina Village Pkwy & Mariner Square Dr (N Jctn),58177,E,0,0.0,0,531.0,574.0,0,0,0,0,530.0,0,142.0,0,53.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,193,Broadway & Blanding Av,58677,E,0,0.0,0,568.0,125.0,0,0,0,0,548.0,0,0.0,0,0.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,2035,11th St & Jefferson St,51110,E,0,14.0,0,431.0,0.0,0,0,0,0,426.0,0,142.0,0,53.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,2036,12th St & Broadway (12th St BART),55557,E,0,0.0,0,385.0,334.0,0,0,0,0,371.0,0,142.0,0,53.0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,2826,Fruitvale Av & E 9th St,58058,E,0,0.0,0,590.0,149.0,0,0,0,0,577.0,0,0.0,0,0.0
11,11,11,11,11,11,11,11,11,11,11,11,11,11,2843,Fruitvale BART,59000,E,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,3658,12th St & Harrison St,58858,E,0,0.0,0,399.0,378.0,0,0,0,0,381.0,0,142.0,0,53.0
13,13,13,13,13,13,13,13,13,13,13,13,13,13,3696,Harrison St & 8th St,50237,E,0,0.0,0,374.0,329.0,0,0,0,0,334.0,0,142.0,0,53.0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,5336,12th & Clay St,51528,E,0,14.0,0,375.0,322.0,0,0,0,0,359.0,0,142.0,0,53.0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,5584,1105 Atlantic Av,56707,E,0,0.0,0,495.0,353.0,0,0,0,0,515.0,0,0.0,0,53.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,5586,Atlantic Av & Triumph Dr,54332,E,0,0.0,0,484.0,510.0,0,0,0,0,517.0,0,142.0,0,53.0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,5588,Buena Vista Av & Chestnut St,52545,E,0,0.0,0,447.0,60.0,0,0,0,0,442.0,0,0.0,0,0.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,5593,Buena Vista Av & Walnut St,56722,E,0,0.0,0,481.0,97.0,0,0,0,0,468.0,0,0.0,0,0.0
19,19,19,19,19,19,19,19,19,19,19,19,19,19,5594,Buena Vista Av & Willow St,53422,E,0,0.0,0,465.0,72.0,0,0,0,0,453.0,0,0.0,0,0.0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,5612,Buena Vista Av & Park St,51727,E,0,0.0,0,491.0,95.0,0,0,0,0,486.0,0,0.0,0,0.0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,5645,Buena Vista Av & Grand St,51737,E,0,0.0,0,409.0,23.0,0,0,0,0,404.0,0,0.0,0,0.0
22,22,22,22,22,22,22,22,22,22,22,22,22,22,5947,Sherman St & Buena Vista Av,52304,E,0,0.0,0,500.0,350.5,0,0,0,0,501.0,0,0.0,0,0.0
