Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008
6001400200,"Census Tract 4002, Alameda County, California",ACSSF,ca,140,0,2819,,,,,6,1,,,400200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001400200,Census Tract 4002,,,,2038,1498,48,0,197,0,26,269,73.5,2.36,0,9.67,0,1.28,13.2,2038,161,51,90,54,61,425,280,228,214,294,152,28,7.9,2.5,4.42,2.65,2.99,20.85,13.74,11.19,10.5,14.43,7.46,1.37,868,0,19,0,0,0,8,2,24,21,18,18,80,81,60,97,440,0,2.19,0,0,0,0.92,0.23,2.76,2.42,2.07,2.07,9.22,9.33,6.91,11.18,50.69,1096,335,275,60,318,10,33,29,0,371,30.57,25.09,5.47,29.01,0.91,3.01,2.65,0,33.85
6001400300,"Census Tract 4003, Alameda County, California",ACSSF,ca,140,0,2820,,,,,6,1,,,400300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001400300,Census Tract 4003,,,,5449,3410,530,22,640,0,395,452,62.58,9.73,0.4,11.75,0,7.25,8.3,5449,98,437,179,184,193,1378,634,888,485,548,217,208,1.8,8.02,3.29,3.38,3.54,25.29,11.64,16.3,8.9,10.06,3.98,3.82,2548,78,104,47,85,60,46,0,14,62,40,220,247,257,143,303,842,3.06,4.08,1.84,3.34,2.35,1.81,0,0.55,2.43,1.57,8.63,9.69,10.09,5.61,11.89,33.05,3289,1148,1001,147,954,46,109,103,0,929,34.9,30.43,4.47,29.01,1.4,3.31,3.13,0,28.25
6001400400,"Census Tract 4004, Alameda County, California",ACSSF,ca,140,0,2821,,,,,6,1,,,400400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001400400,Census Tract 4004,,,,4384,3061,367,22,356,0,189,389,69.82,8.37,0.5,8.12,0,4.31,8.87,4384,294,214,316,120,107,980,762,672,387,346,121,65,6.71,4.88,7.21,2.74,2.44,22.35,17.38,15.33,8.83,7.89,2.76,1.48,1826,32,42,69,25,37,15,10,6,35,95,28,223,71,283,205,650,1.75,2.3,3.78,1.37,2.03,0.82,0.55,0.33,1.92,5.2,1.53,12.21,3.89,15.5,11.23,35.6,2584,1138,946,192,500,16,169,139,26,596,44.04,36.61,7.43,19.35,0.62,6.54,5.38,1.01,23.07
6001401100,"Census Tract 4011, Alameda County, California",ACSSF,ca,140,0,2828,,,,,6,1,,,401100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001401100,Census Tract 4011,,,,5204,2441,933,0,914,10,372,534,46.91,17.93,0,17.56,0.19,7.15,10.26,5204,212,176,261,133,453,1603,941,825,263,256,43,38,4.07,3.38,5.02,2.56,8.7,30.8,18.08,15.85,5.05,4.92,0.83,0.73,2428,174,11,41,101,47,0,66,55,46,115,173,632,251,49,207,460,7.17,0.45,1.69,4.16,1.94,0,2.72,2.27,1.89,4.74,7.13,26.03,10.34,2.02,8.53,18.95,3257,1041,957,84,1373,25,123,141,14,540,31.96,29.38,2.58,42.16,0.77,3.78,4.33,0.43,16.58
6001401200,"Census Tract 4012, Alameda County, California",ACSSF,ca,140,0,2829,,,,,6,1,,,401200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001401200,Census Tract 4012,,,,2800,1796,286,0,312,0,113,293,64.14,10.21,0,11.14,0,4.04,10.46,2800,197,58,39,27,127,878,485,469,279,138,79,24,7.04,2.07,1.39,0.96,4.54,31.36,17.32,16.75,9.96,4.93,2.82,0.86,1360,26,44,30,10,43+CY6,73,21,0,43,63,102,167,129,77,136,396,1.91,3.24,2.21,0.74,3.16,5.37,1.54,0,3.16,4.63,7.5,12.28,9.49,5.66,10,29.12,1872,761,652,109,523,0,96,79,29,384,40.65,34.83,5.82,27.94,0,5.13,4.22,1.55,20.51
6001401300,"Census Tract 4013, Alameda County, California",ACSSF,ca,140,0,2830,,,,,6,1,,,401300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001401300,Census Tract 4013,,,,4074,1726,902,25,854,0,135,432,42.37,22.14,0.61,20.96,0,3.31,10.6,4074,151,38,63,70,211,1426,694,455,466,179,168,153,3.71,0.93,1.55,1.72,5.18,35,17.03,11.17,11.44,4.39,4.12,3.76,2065,124,78,74,81,58,105,68,58,48,87,61,300,297,146,230,250,6,3.78,3.58,3.92,2.81,5.08,3.29,2.81,2.32,4.21,2.95,14.53,14.38,7.07,11.14,12.11,2640,994,874,120,744,54,137,264,0,447,37.65,33.11,4.55,28.18,2.05,5.19,10,0,16.93
6001402600,"Census Tract 4026, Alameda County, California",ACSSF,ca,140,0,2839,,,,,6,1,,,402600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402600,Census Tract 4026,,,,1299,197,437,4,454,0,38,169,15.17,33.64,0.31,34.95,0,2.93,13.01,1299,50,100,73,13,84,182,180,166,132,218,79,22,3.85,7.7,5.62,1,6.47,14.01,13.86,12.78,10.16,16.78,6.08,1.69,603,65,122,24,16,26,17,28,48,15,78,34,11,16,8,47,48,10.78,20.23,3.98,2.65,4.31,2.82,4.64,7.96,2.49,12.94,5.64,1.82,2.65,1.33,7.79,7.96,612,325,273,52,84,0,5,91,41,66,53.1,44.61,8.5,13.73,0,0.82,14.87,6.7,10.78
6001402700,"Census Tract 4027, Alameda County, California",ACSSF,ca,140,0,2840,,,,,6,1,,,402700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402700,Census Tract 4027,,,,1988,616,717,0,313,0,252,90,30.99,36.07,0,15.74,0,12.68,4.53,1988,55,51,67,28,210,550,378,169,247,183,16,34,2.77,2.57,3.37,1.41,10.56,27.67,19.01,8.5,12.42,9.21,0.8,1.71,724,116,6,30,18,27,25,7,22,5,11,40,55,68,25,82,187,16.02,0.83,4.14,2.49,3.73,3.45,0.97,3.04,0.69,1.52,5.52,7.6,9.39,3.45,11.33,25.83,1188,524,396,128,375,0,49,86,6,148,44.11,33.33,10.77,31.57,0,4.12,7.24,0.51,12.46
6001402801,"Census Tract 4028.01, Alameda County, California",ACSSF,ca,140,0,2841,,,,,6,1,,,402801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402801,Census Tract 4028.01,,,,3301,990,1230,31,582,0,67,401,29.99,37.26,0.94,17.63,0,2.03,12.15,3301,210,88,243,0,139,1132,394,321,240,404,90,40,6.36,2.67,7.36,0,4.21,34.29,11.94,9.72,7.27,12.24,2.73,1.21,1786,87,205,62,42,212,33,80,0,0,97,30,40,66,78,448,306,4.87,11.48,3.47,2.35,11.87,1.85,4.48,0,0,5.43,1.68,2.24,3.7,4.37,25.08,17.13,1828,375,356,19,706,32,52,214,16,433,20.51,19.47,1.04,38.62,1.75,2.84,11.71,0.88,23.69
6001402802,"Census Tract 4028.02, Alameda County, California",ACSSF,ca,140,0,2842,,,,,6,1,,,402802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001402802,Census Tract 4028.02,,,,1251,284,583,0,195,0,56,133,22.7,46.6,0,15.59,0,4.48,10.63,1251,11,15,16,0,61,245,151,139,109,336,124,44,0.88,1.2,1.28,0,4.88,19.58,12.07,11.11,8.71,26.86,9.91,3.52,699,176,144,99,0,0,18,0,0,64,39,12,54,22,0,20,51,25.18,20.6,14.16,0,0,2.58,0,0,9.16,5.58,1.72,7.73,3.15,0,2.86,7.3,419,62,36,26,188,15,12,33,14,95,14.8,8.59,6.21,44.87,3.58,2.86,7.88,3.34,22.67
